university,city,country,coursename,coursedescription,startdate,enddate,price,currency,timestamp
Bogor Agricultural University,Lewopao,Indonesia,Human Resources Manager,Configurable 3rd generation implementation,2018-10-18,2018-12-19,9230.89,IDR,2024-08-02 21:09:34.366232
Technical University of Warsaw,Gierłoż,Poland,Assistant Media Planner,Ameliorated radical firmware,2016-12-08,2017-04-25,8311.74,PLN,2024-08-02 21:09:34.366232
Universidad Popular de Nicaragua (UPONIC),Boaco,Nicaragua,Computer Systems Analyst III,Synergistic scalable system engine,2017-05-19,2017-08-24,1239.79,NIO,2024-08-02 21:09:34.366232
Universidad del Cono Sur de las Américas,San Juan Bautista,Paraguay,Product Engineer,Cross-platform next generation array,2019-07-31,2019-12-06,4995.63,PYG,2024-08-02 21:09:34.366232
Vologda State Pedagogical University,Tuymazy,Russia,Accountant IV,Business-focused zero tolerance collaboration,2019-10-07,2019-11-05,5758.36,RUB,2024-08-02 21:09:34.366232
Sichuan International Studies University,Jinggongqiao,China,VP Accounting,Adaptive full-range orchestration,2017-03-04,2017-07-11,3491.26,CNY,2024-08-02 21:09:34.366232
Isabela State University,Talisayan,Philippines,Safety Technician II,Persevering multi-state help-desk,2016-07-31,2017-03-07,1283.62,PHP,2024-08-02 21:09:34.366232
Taiz University,Mukayrās,Yemen,Administrative Assistant IV,Phased neutral secured line,2019-03-26,2019-09-26,3254.9,YER,2024-08-02 21:09:34.366232
Universitas Gunadarma,Bungkal,Indonesia,Clinical Specialist,Business-focused empowering product,2019-03-24,2019-10-21,3156.9,IDR,2024-08-02 21:09:34.366232
Academia Nacional Superior de Orquesta,Ronfe,Portugal,Nurse Practicioner,Customer-focused demand-driven infrastructure,2017-10-31,2018-04-06,6108.79,EUR,2024-08-02 21:09:34.366232
Royal lnstitute of Technology,Nybro,Sweden,Software Engineer IV,Ameliorated upward-trending contingency,2017-03-27,2017-04-08,7320.05,SEK,2024-08-02 21:09:34.366232
Shanghai City College,Yangtan,China,Help Desk Operator,User-friendly fresh-thinking workforce,2018-01-19,2018-05-10,5632.16,CNY,2024-08-02 21:09:34.366232
Poltava National Technical University,Kushnytsya,Ukraine,Design Engineer,Synchronised system-worthy framework,2016-07-09,2016-09-11,1211.71,UAH,2024-08-02 21:09:34.366232
Université de Kamina,Kongolo,Democratic Republic of the Congo,Account Coordinator,Adaptive client-server flexibility,2018-03-08,2018-10-08,2054.22,CDF,2024-08-02 21:09:34.366232
University of Osijek,Privlaka,Croatia,Software Test Engineer I,Customizable asymmetric paradigm,2016-09-12,2017-03-27,7175.07,HRK,2024-08-02 21:09:34.366232
Nordic School of Public Health,Nacka,Sweden,VP Sales,Multi-tiered non-volatile solution,2018-05-06,2018-12-03,948.85,SEK,2024-08-02 21:09:34.366232
Odessa State Academy of Construction and Architecture,Kacha,Ukraine,Project Manager,Enterprise-wide mobile instruction set,2016-12-11,2017-01-19,4437.8,UAH,2024-08-02 21:09:34.366232
University of Fine Arts Belgrade,Novi Sad,Serbia,Technical Writer,Persistent zero tolerance encoding,2018-11-24,2019-06-17,440.48,RSD,2024-08-02 21:09:34.366232
University of Veterinary and Pharmaceutical Science,Ostravice,Czech Republic,Geological Engineer,Triple-buffered fault-tolerant benchmark,2016-03-12,2016-09-11,4282.16,CZK,2024-08-02 21:09:34.366232
Universidad Nacional de Tumbes,Moche,Peru,Administrative Assistant I,Synergized next generation encoding,2018-06-26,2018-11-22,8574.35,PEN,2024-08-02 21:09:34.366232
Universidad Tecnológica del Peru,Huacrachuco,Peru,Statistician IV,Synchronised holistic portal,2018-06-06,2019-01-05,4876.67,PEN,2024-08-02 21:09:34.366232
Université Catholique de Lyon,Digne-les-Bains,France,Legal Assistant,Future-proofed value-added superstructure,2017-11-07,2018-02-14,6827.12,EUR,2024-08-02 21:09:34.366232
Bahir Dar University,Gorē,Ethiopia,Systems Administrator II,Persevering content-based approach,2016-04-05,2016-09-14,7700.85,ETB,2024-08-02 21:09:34.366232
Harbin Medical University,Huaqiao,China,Account Representative II,Self-enabling asynchronous Graphical User Interface,2019-07-26,2019-11-28,7716.97,CNY,2024-08-02 21:09:34.366232
Pomor State University,Leshukonskoye,Russia,Recruiting Manager,Organic intangible concept,2018-01-03,2018-06-26,8105.85,RUB,2024-08-02 21:09:34.366232
Abubakar Tafawa Balewa University,Kaingiwa,Nigeria,Chief Design Engineer,Multi-tiered context-sensitive contingency,2016-08-01,2017-03-09,6676.2,NGN,2024-08-02 21:09:34.366232
University of Northern Philippines,Digos,Philippines,Recruiter,Quality-focused multimedia architecture,2016-09-08,2016-10-31,540.71,PHP,2024-08-02 21:09:34.366232
Instituto Politécnico de Viana do Castelo,Vilarinho,Portugal,Registered Nurse,Cross-platform even-keeled paradigm,2019-09-13,2020-03-03,8989.14,EUR,2024-08-02 21:09:34.366232
Polytechnic Ibadan,Mando,Nigeria,Senior Editor,Universal non-volatile intranet,2018-08-23,2019-03-16,4133.13,NGN,2024-08-02 21:09:34.366232
University Goce Delcev,Srbica,Macedonia,Marketing Manager,Cross-group asynchronous service-desk,2019-06-07,2019-11-05,4872.84,MKD,2024-08-02 21:09:34.366232
Politeknik Negeri Sambas,Taklale,Indonesia,Web Developer II,Robust local function,2016-05-31,2016-11-14,6348.09,IDR,2024-08-02 21:09:34.366232
Free University Stockholm,Hallstahammar,Sweden,Speech Pathologist,Synergistic clear-thinking solution,2016-08-11,2017-02-24,4229.62,SEK,2024-08-02 21:09:34.366232
Charles University Prague,Hrádek,Czech Republic,Technical Writer,Sharable discrete info-mediaries,2016-10-26,2017-02-24,9596.03,CZK,2024-08-02 21:09:34.366232
Universitas Gadjah Mada,Wadungasri,Indonesia,Desktop Support Technician,Streamlined actuating architecture,2017-07-27,2018-03-03,440.53,IDR,2024-08-02 21:09:34.366232
Universidade de Evora,Cruz,Portugal,Automation Specialist II,Switchable systemic intranet,2019-06-07,2019-11-02,8375.85,EUR,2024-08-02 21:09:34.366232
Universitas Airlangga,Kostarea Satu,Indonesia,Health Coach IV,Re-engineered actuating success,2016-06-26,2016-12-19,4685.19,IDR,2024-08-02 21:09:34.366232
Benemerita Universidad Autónoma de Puebla,Emiliano Zapata,Mexico,Nurse,Secured reciprocal benchmark,2017-04-04,2017-10-13,6523.61,MXN,2024-08-02 21:09:34.366232
University of Primorska,Koper,Slovenia,General Manager,Profit-focused incremental flexibility,2018-12-16,2019-04-13,6995.49,EUR,2024-08-02 21:09:34.366232
Universitas Merdeka Malang,Ciduren,Indonesia,Social Worker,Synergized static knowledge base,2017-07-19,2017-08-27,9985.31,IDR,2024-08-02 21:09:34.366232
Universidad César Vallejo,Conchopata,Peru,Administrative Assistant I,Multi-layered bottom-line artificial intelligence,2016-07-08,2017-01-23,2808.71,PEN,2024-08-02 21:09:34.366232
"Fourah Bay College, University of Sierra Leone",Bonthe,Sierra Leone,Media Manager IV,Adaptive human-resource concept,2018-11-22,2019-01-22,3761.91,SLL,2024-08-02 21:09:34.366232
Syrian International Private University for Science & Technology,Sulūk,Syria,Accountant III,Configurable clear-thinking hub,2016-10-13,2016-12-27,6193.5,SYP,2024-08-02 21:09:34.366232
Universidade Cidade de São Paulo,Santa Maria,Brazil,Executive Secretary,Mandatory secondary policy,2018-08-16,2018-12-22,5384.05,BRL,2024-08-02 21:09:34.366232
Chongqing University of Science and Technology,Macheng,China,Business Systems Development Analyst,Managed cohesive analyzer,2019-10-19,2020-03-19,2405.06,CNY,2024-08-02 21:09:34.366232
"Islamic Azad University, Janah",Pā’īn-e Bāzār-e Rūdbār,Iran,Data Coordinator,Triple-buffered context-sensitive system engine,2018-05-22,2018-06-30,594.05,IRR,2024-08-02 21:09:34.366232
Limkokwing University College of Creative Technology,Melaka,Malaysia,Marketing Manager,Streamlined actuating help-desk,2019-10-03,2019-12-02,8970.69,MYR,2024-08-02 21:09:34.366232
Technological Education Institute of Kozani,Pérama,Greece,Mechanical Systems Engineer,Self-enabling client-driven function,2016-10-21,2017-02-17,7258.96,EUR,2024-08-02 21:09:34.366232
Universidad Mariano Gálvez,Nentón,Guatemala,Geologist I,Cloned heuristic ability,2019-10-23,2020-05-23,7228.41,GTQ,2024-08-02 21:09:34.366232
Hebei University of Technology,Xiashu,China,Executive Secretary,Quality-focused 24 hour initiative,2017-12-26,2018-01-29,4070.57,CNY,2024-08-02 21:09:34.366232
Near East School of Theology,Jezzîne,Lebanon,Computer Systems Analyst II,Customizable systemic superstructure,2018-04-12,2018-10-22,9387.78,LBP,2024-08-02 21:09:34.366232
Universitas Putera Batam,Brangsi,Indonesia,Analyst Programmer,Open-architected object-oriented hub,2017-10-03,2018-02-14,901.94,IDR,2024-08-02 21:09:34.366232
Cagayan State University,Paitan Este,Philippines,Librarian,Streamlined transitional Graphic Interface,2019-02-05,2019-02-24,5624.97,PHP,2024-08-02 21:09:34.366232
Binh Duong University,Mirontsi,Comoros,Automation Specialist III,Persistent 3rd generation interface,2019-08-16,2019-10-01,5849.12,KMF,2024-08-02 21:09:34.366232
College of New Caledonia,Coquitlam,Canada,Project Manager,Inverse bottom-line analyzer,2016-04-22,2016-06-15,8659.44,CAD,2024-08-02 21:09:34.366232
North Island College,Lac-Mégantic,Canada,Director of Sales,Persevering empowering project,2017-08-27,2017-09-17,5587.98,CAD,2024-08-02 21:09:34.366232
Berean University of the Assemblies of God,Atlanta,United States,Civil Engineer,User-centric grid-enabled customer loyalty,2018-05-21,2018-06-07,1140.4,USD,2024-08-02 21:09:34.366232
The Manchester Metropolitan University,Kinloch,United Kingdom,Cost Accountant,Managed didactic system engine,2018-09-17,2019-04-18,6704.03,GBP,2024-08-02 21:09:34.366232
East Kazakstan State Technical University,Moyynkum,Kazakhstan,Sales Associate,De-engineered upward-trending intranet,2018-11-26,2019-01-17,7171.99,KZT,2024-08-02 21:09:34.366232
University of Neuchatel,Thun,Switzerland,Registered Nurse,Synergized user-facing productivity,2017-03-13,2017-09-04,9116.19,CHF,2024-08-02 21:09:34.366232
The College of The Bahamas,San Andros,Bahamas,Social Worker,Vision-oriented transitional implementation,2019-08-04,2020-01-17,4760.82,BSD,2024-08-02 21:09:34.366232
Central University for Nationalities,Xiamayu,China,Software Engineer II,Programmable holistic hub,2018-03-28,2018-07-22,7717.57,CNY,2024-08-02 21:09:34.366232
Pyongyang University of Science and Technology,Musan-ŭp,North Korea,Registered Nurse,User-friendly optimal website,2018-04-20,2018-11-04,9949.23,KPW,2024-08-02 21:09:34.366232
Bemidji State Univeristy,Saint Paul,United States,Research Assistant IV,Universal composite task-force,2017-08-24,2018-02-06,3780.27,USD,2024-08-02 21:09:34.366232
Guangzhou Normal University,Dushu,China,Human Resources Assistant II,Exclusive maximized array,2016-09-14,2017-02-05,3354.02,CNY,2024-08-02 21:09:34.366232
Hellenic Open University,Sísion,Greece,Associate Professor,Automated 3rd generation orchestration,2017-03-15,2017-07-12,6251.51,EUR,2024-08-02 21:09:34.366232
Zhejiang Forestry University,Xilin Hot,China,Help Desk Operator,Inverse directional local area network,2019-04-08,2019-09-18,8402.09,CNY,2024-08-02 21:09:34.366232
University of Southern Philippines Foundation,Quipot,Philippines,Paralegal,Re-engineered needs-based toolset,2018-05-03,2018-09-23,3699.85,PHP,2024-08-02 21:09:34.366232
Universitas Airlangga,Sabang,Indonesia,Statistician I,Visionary fault-tolerant moratorium,2017-01-13,2017-06-27,6070.94,IDR,2024-08-02 21:09:34.366232
Universitas 17 Agustus 1945 Semarang,Blangkejeren,Indonesia,Recruiting Manager,Programmable composite methodology,2019-11-26,2020-06-10,7156.34,IDR,2024-08-02 21:09:34.366232
Poole Gakuin University,Okazaki,Japan,Electrical Engineer,Persevering foreground analyzer,2016-07-01,2017-01-08,7452.6,JPY,2024-08-02 21:09:34.366232
Universidad Tecnológica de los Andes de Apurímac,Hualgayoc,Peru,Senior Developer,Realigned responsive access,2019-05-07,2019-11-16,8711.86,PEN,2024-08-02 21:09:34.366232
Chinese People's Public Security University,Xiejia,China,Cost Accountant,Mandatory content-based middleware,2016-12-25,2017-06-04,4948.42,CNY,2024-08-02 21:09:34.366232
Université Catholique de Lyon,Bollène,France,Database Administrator III,User-friendly bandwidth-monitored protocol,2018-06-11,2018-12-19,1506.62,EUR,2024-08-02 21:09:34.366232
Engineering College of Copenhagen,København,Denmark,Cost Accountant,Optimized dedicated solution,2016-05-05,2016-12-07,2951.93,DKK,2024-08-02 21:09:34.366232
Tibet University,Honglu,China,Quality Control Specialist,Decentralized holistic instruction set,2016-11-22,2017-05-14,9649.21,CNY,2024-08-02 21:09:34.366232
Tsinghua University,Fanzhen,China,Graphic Designer,Pre-emptive executive ability,2016-11-06,2017-05-31,6813.53,CNY,2024-08-02 21:09:34.366232
Academy of Arts,Elbasan,Albania,Electrical Engineer,Profit-focused demand-driven array,2018-07-22,2018-12-17,2079.88,ALL,2024-08-02 21:09:34.366232
Gaborone Universal College of Law,Francistown,Botswana,General Manager,User-centric tangible neural-net,2017-09-15,2018-01-21,6995.14,BWP,2024-08-02 21:09:34.366232
Universitas Kristen Krida Wacana,Telagaselaba,Indonesia,Senior Cost Accountant,Front-line explicit database,2018-06-12,2018-07-04,8885.32,IDR,2024-08-02 21:09:34.366232
Drake University,Las Vegas,United States,Senior Quality Engineer,Customizable tangible infrastructure,2018-08-23,2019-03-31,7673.91,USD,2024-08-02 21:09:34.366232
Universidad Autónoma Juan Misael Saracho,Warnes,Bolivia,Tax Accountant,Switchable executive implementation,2017-02-20,2017-08-14,8636.97,BOB,2024-08-02 21:09:34.366232
St. Petersburg Institute of Arts and Restoration,Izvestkovyy,Russia,Accountant II,Reduced value-added matrices,2018-05-02,2018-10-13,610.14,RUB,2024-08-02 21:09:34.366232
Tibet Agricultural and Animal Husbandry College,Xinning,China,Senior Sales Associate,Polarised full-range knowledge base,2018-04-01,2018-07-14,9248.12,CNY,2024-08-02 21:09:34.366232
Southwest Jiaotong University,Heshang,China,Mechanical Systems Engineer,Profit-focused explicit alliance,2016-10-22,2017-01-14,8463.21,CNY,2024-08-02 21:09:34.366232
Universidad de San Pedro Sula,Concepción de la Barranca,Honduras,Chemical Engineer,Multi-channelled intangible budgetary management,2017-11-15,2017-11-23,7857.98,HNL,2024-08-02 21:09:34.366232
Moscow External University of the Humanities,Krasnyy Oktyabr’,Russia,Geological Engineer,Reverse-engineered actuating architecture,2018-06-16,2019-01-01,6934.27,RUB,2024-08-02 21:09:34.366232
University of Perpetual Help,Adela,Philippines,Food Chemist,Centralized interactive utilisation,2019-03-30,2019-09-26,6827.24,PHP,2024-08-02 21:09:34.366232
Arellano University,Luzon,Philippines,Associate Professor,Optimized bottom-line info-mediaries,2017-07-20,2018-02-08,8900.25,PHP,2024-08-02 21:09:34.366232
Moscow Technical University of Informatics and Communication,Kharabali,Russia,Structural Analysis Engineer,Optimized asynchronous Graphical User Interface,2018-05-06,2018-09-16,9847.11,RUB,2024-08-02 21:09:34.366232
Universidad Nacional de Misiones,San José de Jáchal,Argentina,Pharmacist,Multi-lateral clear-thinking toolset,2018-12-13,2019-02-15,2705.67,ARS,2024-08-02 21:09:34.366232
Technical University of Gabrovo,Plovdiv,Bulgaria,Desktop Support Technician,Horizontal needs-based support,2017-11-20,2018-06-27,2038.88,BGN,2024-08-02 21:09:34.366232
St. Petersburg State University of Engineering and Economics,Shaami-Yurt,Russia,Legal Assistant,Digitized systematic functionalities,2016-04-03,2016-05-26,8623.56,RUB,2024-08-02 21:09:34.366232
Universidad Nacional de General Sarmiento,Bell Ville,Argentina,Administrative Officer,Horizontal human-resource parallelism,2016-12-07,2017-06-08,4245.57,ARS,2024-08-02 21:09:34.366232
Mid-Sweden University,Täby,Sweden,Structural Engineer,Programmable user-facing parallelism,2017-07-03,2017-11-17,2517.62,SEK,2024-08-02 21:09:34.366232
East China University of Science and Technology,Baima,China,Marketing Manager,User-friendly 6th generation frame,2019-11-14,2019-11-23,9210.29,CNY,2024-08-02 21:09:34.366232
Russian-Armenian (Slavonic) State University,Archis,Armenia,Developer III,Switchable didactic task-force,2018-08-19,2019-03-15,7346.52,AMD,2024-08-02 21:09:34.366232
Ulyanovsk State University,Staraya Kulatka,Russia,Teacher,Triple-buffered value-added matrices,2017-09-07,2017-10-13,1228.84,RUB,2024-08-02 21:09:34.366232
Northern Alberta Institute of Technology,Barrie,Canada,Environmental Specialist,Expanded didactic productivity,2016-08-06,2016-12-01,5224.76,CAD,2024-08-02 21:09:34.366232
Université de Ouagadougou,Banfora,Burkina Faso,Legal Assistant,Cross-group stable adapter,2018-06-18,2018-08-17,9393.86,XOF,2024-08-02 21:09:34.366232
Hanoi Medical University,Mường Nhé,Vietnam,Software Test Engineer III,Decentralized incremental intranet,2016-05-28,2017-01-01,2981.55,VND,2024-08-02 21:09:34.366232
Ecole Supérieure de Commerce de Grenoble,Paris 17,France,Senior Quality Engineer,Expanded 5th generation groupware,2017-06-13,2018-01-18,8282.26,EUR,2024-08-02 21:09:34.366232
Ubonratchathani University,Phayakkhaphum Phisai,Thailand,Office Assistant III,Total next generation frame,2017-09-17,2018-02-05,7856.02,THB,2024-08-02 21:09:34.366232
University of Pretoria,Mankoeng,South Africa,Clinical Specialist,Innovative demand-driven encoding,2019-10-10,2020-04-20,7676.21,ZAR,2024-08-02 21:09:34.366232
Technological University (West Yangon),Hpa-an,Myanmar,Nurse,Synchronised coherent encoding,2019-08-30,2019-10-11,5232.63,MMK,2024-08-02 21:09:34.366232
Universitas Pakuan,Sridadi,Indonesia,VP Marketing,Ameliorated 24 hour attitude,2016-08-13,2017-03-20,225.36,IDR,2024-08-02 21:09:34.366232
Burapha University,Ongkharak,Thailand,Office Assistant II,Horizontal 24/7 secured line,2018-01-26,2018-08-30,5008.32,THB,2024-08-02 21:09:34.366232
Catholic University of Malawi,Balaka,Malawi,Senior Financial Analyst,Total non-volatile algorithm,2016-08-07,2016-10-29,2852.37,MWK,2024-08-02 21:09:34.366232
University College of Gävle,Linköping,Sweden,Assistant Manager,Business-focused grid-enabled superstructure,2017-04-06,2017-05-16,2569.13,SEK,2024-08-02 21:09:34.366232
Omsk State Agrarian University,Verkhniy Baskunchak,Russia,Media Manager I,Reactive optimizing flexibility,2017-09-27,2017-11-26,5920.54,RUB,2024-08-02 21:09:34.366232
Universitas Tanjungpura,Dadap,Indonesia,Assistant Manager,Sharable content-based application,2016-08-06,2016-08-21,4325.13,IDR,2024-08-02 21:09:34.366232
Universitas Gunadarma,Merik,Indonesia,Social Worker,Digitized neutral matrix,2016-03-20,2016-05-30,6487.15,IDR,2024-08-02 21:09:34.366232
Universidad del Pacifico,Cajabamba,Peru,Social Worker,Optimized neutral synergy,2019-03-22,2019-04-24,586.32,PEN,2024-08-02 21:09:34.366232
Mariano Marcos State University,Calaoagan,Philippines,Account Representative I,Decentralized human-resource standardization,2018-03-13,2018-05-11,4145.02,PHP,2024-08-02 21:09:34.366232
Shanghai Lida Polytechnic Institute,Moba,China,Compensation Analyst,Cloned 4th generation time-frame,2019-02-12,2019-04-02,7922.29,CNY,2024-08-02 21:09:34.366232
Manila Central University,Lugui,Philippines,Project Manager,Organic upward-trending data-warehouse,2018-08-05,2018-08-11,9907.46,PHP,2024-08-02 21:09:34.366232
Stockholm University,Uddevalla,Sweden,Civil Engineer,Diverse modular initiative,2018-11-04,2019-03-28,2545.7,SEK,2024-08-02 21:09:34.366232
National Medical University O.O. Bogomolets,Rozhnyativ,Ukraine,Office Assistant III,Multi-layered leading edge Graphical User Interface,2018-04-05,2018-06-18,2464.8,UAH,2024-08-02 21:09:34.366232
Instituto Mauá de Tecnologia,Pontes e Lacerda,Brazil,Tax Accountant,Cloned optimal Graphic Interface,2016-02-24,2016-03-09,256.11,BRL,2024-08-02 21:09:34.366232
Higher Institute of Business Administration,Al Bāriqīyah,Syria,Structural Engineer,Pre-emptive non-volatile synergy,2018-10-30,2019-04-27,6828.73,SYP,2024-08-02 21:09:34.366232
Institut d'Etudes Politiques de Paris (Sciences Po),Lagny-sur-Marne,France,Electrical Engineer,Extended mobile moderator,2016-11-22,2017-04-13,102.32,EUR,2024-08-02 21:09:34.366232
Ndejje University,Amuru,Uganda,Operator,Cloned leading edge hardware,2017-04-03,2017-07-31,8694.78,UGX,2024-08-02 21:09:34.366232
Mahidol University,Buriram,Thailand,Assistant Professor,Exclusive demand-driven parallelism,2018-04-14,2018-08-11,1473.98,THB,2024-08-02 21:09:34.366232
Technological University (Mawlamyaing),Mogok,Myanmar,Graphic Designer,Virtual 6th generation service-desk,2016-12-04,2017-01-30,803.22,MMK,2024-08-02 21:09:34.366232
International Buddhist College,Bueng Sam Phan,Thailand,Technical Writer,Expanded uniform strategy,2019-07-14,2019-10-15,8927.27,THB,2024-08-02 21:09:34.366232
Caritas University,Awgu,Nigeria,Physical Therapy Assistant,Adaptive mobile standardization,2018-03-27,2018-06-15,7153.95,NGN,2024-08-02 21:09:34.366232
Universitas Muhammadiyah Sumatra Utara,Garisul,Indonesia,Paralegal,Virtual incremental service-desk,2017-08-10,2017-09-12,6721.54,IDR,2024-08-02 21:09:34.366232
Western International University,Palmdale,United States,Statistician II,Programmable well-modulated hub,2018-08-28,2019-01-06,1733.75,USD,2024-08-02 21:09:34.366232
Christchurch Polytechnic Institute of Technology,Christchurch,New Zealand,Nurse Practicioner,Re-engineered user-facing product,2017-12-15,2018-06-20,3277.75,NZD,2024-08-02 21:09:34.366232
"Tecnologico de Baja California, Universidad",Jose Maria Morelos,Mexico,Physical Therapy Assistant,Expanded content-based functionalities,2018-10-27,2019-03-28,7697.55,MXN,2024-08-02 21:09:34.366232
Technological Education Institute of Patras,Mílos,Greece,Administrative Assistant II,Multi-layered stable system engine,2019-11-28,2020-01-27,8506.85,EUR,2024-08-02 21:09:34.366232
Zhejiang Gongshang University,Zhongping,China,Operator,Object-based 3rd generation open system,2016-05-25,2016-12-24,9649.77,CNY,2024-08-02 21:09:34.366232
Universiteit Doesburg (UNDO),'s-Hertogenbosch,Netherlands,Product Engineer,Customer-focused leading edge capacity,2017-09-28,2017-10-10,363.91,EUR,2024-08-02 21:09:34.366232
